transaction_id,customer_name,product_name,category,price,quantity,payment_method,transaction_date,shipping_city,rating
TRX00141,"Puti Malika Lazuardi, S.E.I",Praesentium,Buku,750000.0,5,Kartu Kredit,2026-09-13,Pekanbaru,1.0
TRX00073,Edi Mulyani,Ut Pro,Elektronik,120000.0,2,E-Wallet,2026-08-17,Bekasi,4.0
TRX00401,Erik Zulkarnain,Molestias Lite,Rumah Tangga,25000.0,5,Transfer Bank,2026-08-31,Samarinda,5.0
TRX00488,"Cut Hesti Gunawan, M.Kom.",Maiores Lite,Buku,75000.0,3,Transfer Bank,2026-07-26,Cirebon,3.0
TRX00226,Garan Mayasari,Aut Lite,Olahraga,500000.0,2,Kartu Kredit,2026-07-19,Bandung,5.0
TRX00178,Tirta Nasyiah,Deleniti,Rumah Tangga,120000.0,1,Kartu Kredit,2026-07-26,Surakarta,
TRX00404,Violet Hutagalung,Magni Basic,Fashion,25000.0,5,Transfer Bank,2026-07-14,Tebingtinggi,4.0
TRX00056,Artanto Samosir,Maiores Lite,Kesehatan,250000.0,3,E-Wallet,2026-09-10,Manado,
TRX00406,Warta Widodo,Iusto Max,Rumah Tangga,25000.0,1,E-Wallet,2026-09-05,Magelang,3.0
TRX00299,dr. Fitriani Manullang,Praesentium Pro,Buku,1200000.0,3,Kartu Kredit,2026-09-19,Payakumbuh,2.0
TRX00078,Sutan Vero Maheswara,Odit Basic,Elektronik,150000.0,5,Kartu Kredit,2026-07-04,Surakarta,1.0
TRX00469,"Kiandra Tampubolon, S.Farm",Ipsam Max,Rumah Tangga,25000.0,2,E-Wallet,2026-09-01,Kota Administrasi Jakarta Utara,
TRX00318,Tgk. Kenes Thamrin,Veritatis Basic,Kesehatan,25000.0,3,Kartu Kredit,2026-08-30,Singkawang,
TRX00476,Gasti Gunarto,Assumenda Max,Olahraga,5000000.0,5,COD,2026-09-15,Pekalongan,2.0
TRX00091,Asirwanda Rajata,Modi Basic,Olahraga,15000.0,5,Transfer Bank,2026-07-21,Madiun,
TRX00239,Cahyo Mangunsong,Autem Lite,Kesehatan,50000.0,4,Kartu Kredit,2026-07-18,Pekalongan,2.0
TRX00486,Amelia Mandasari,Reiciendis Pro,Olahraga,1200000.0,5,Kartu Kredit,2026-07-07,Kota Administrasi Jakarta Pusat,
TRX00064,Lembah Fujiati,Laborum Lite,Rumah Tangga,25000.0,5,COD,2026-08-26,Palangkaraya,5.0
TRX00458,Wisnu Manullang,Nulla,Buku,50000.0,5,E-Wallet,2026-08-02,Dumai,
TRX00071,Fathonah Astuti,Repellendus Lite,Kesehatan,1200000.0,3,COD,2026-08-15,Pangkalpinang,2.0
TRX00003,Johan Suartini,Alias,Rumah Tangga,750000.0,4,E-Wallet,2026-08-11,Jayapura,2.0
TRX00288,T. Slamet Hutapea,Explicabo,Elektronik,250000.0,1,E-Wallet,2026-07-09,Blitar,5.0
TRX00342,KH. Mulya Pratama,Expedita Pro,Rumah Tangga,250000.0,5,Transfer Bank,2026-08-22,Pontianak,5.0
TRX00138,Vanya Habibi,Enim Basic,Rumah Tangga,12000000.0,4,Transfer Bank,2026-07-16,Kotamobagu,
TRX00250,Cindy Wahyudin,Et Pro,Olahraga,1200000.0,4,Kartu Kredit,2026-06-24,Tasikmalaya,3.0
TRX00195,Simon Yolanda,Totam Lite,Kesehatan,25000.0,3,Transfer Bank,2026-09-08,Tidak Diketahui,1.0
TRX00173,Paulin Maheswara,Odit Lite,Elektronik,250000.0,3,Kartu Kredit,2026-07-25,Sawahlunto,2.0
TRX00083,Cahyo Maryadi,Eveniet Basic,Rumah Tangga,1200000.0,3,COD,2026-07-26,Tarakan,4.0
TRX00454,Siska Widiastuti,Voluptatem,Elektronik,50000.0,5,E-Wallet,2026-07-24,Prabumulih,
TRX00319,Febi Prayoga,Hic,Fashion,2500000.0,2,Transfer Bank,2026-08-11,Langsa,1.0
TRX00034,Titi Sirait,Corrupti,Elektronik,120000.0,1,Transfer Bank,2026-07-14,Prabumulih,2.0
TRX00427,"Ian Widodo, S.Ked",Sint Basic,Buku,120000.0,4,Transfer Bank,2026-09-09,Semarang,
TRX00228,Drs. Kiandra Hariyah,Repellendus Max,Buku,150000.0,4,E-Wallet,2026-08-10,Palopo,3.0
TRX00001,"Balidin Dongoran, S.T.",Exercitationem Pro,Elektronik,120000.0,2,Transfer Bank,2026-07-12,Tangerang,1.0
TRX00012,"Puti Prasetya, S.Psi",Aspernatur Pro,Elektronik,25000.0,2,Kartu Kredit,2026-07-12,Lubuklinggau,5.0
TRX00238,Ira Najmudin,Error,Kesehatan,500000.0,4,Kartu Kredit,2026-07-22,Depok,2.0
TRX00023,Nurul Budiyanto,Culpa Basic,Rumah Tangga,15000.0,1,COD,2026-09-13,Kendari,2.0
TRX00297,Dewi Santoso,Odio Max,Fashion,500000.0,4,COD,2026-07-14,Banjarbaru,1.0
TRX00102,Ibrahim Nugroho,Quasi,Rumah Tangga,250000.0,4,Transfer Bank,2026-09-16,Singkawang,3.0
TRX00080,Endah Kusmawati,Odio Lite,Olahraga,120000.0,1,Kartu Kredit,2026-07-15,Subulussalam,2.0
TRX00430,Faizah Haryanti,Cum,Buku,120000.0,1,Kartu Kredit,2026-07-15,Pontianak,3.0
TRX00432,Zulfa Haryanti,Sit Max,Olahraga,750000.0,2,E-Wallet,2026-07-07,Singkawang,2.0
TRX00019,"Calista Zulaika, M.Pd",Fugiat Lite,Buku,1200000.0,4,Kartu Kredit,2026-08-30,Binjai,3.0
TRX00177,Arsipatra Firgantoro,Incidunt Basic,Olahraga,500000.0,2,Kartu Kredit,2026-09-19,Bengkulu,3.0
TRX00232,Intan Wibisono,Nemo Pro,Elektronik,120000.0,4,Kartu Kredit,2026-08-30,Sorong,3.0
TRX00133,"Dr. Cornelia Halimah, S.I.Kom",Nemo Lite,Buku,1200000.0,2,COD,2026-07-21,Cilegon,2.0
TRX00040,Gasti Hakim,Repellendus Lite,Fashion,500000.0,1,COD,2026-08-27,Tidore Kepulauan,
TRX00465,"R. Baktiono Sihotang, S.I.Kom",In Pro,Rumah Tangga,1200000.0,4,E-Wallet,2026-07-04,Sukabumi,2.0
TRX00047,Sutan Jono Saptono,Delectus,Kesehatan,500000.0,3,COD,2026-09-13,Kota Administrasi Jakarta Barat,
TRX00358,T. Daruna Permata,Ipsum,Kesehatan,120000.0,3,Transfer Bank,2026-08-12,Kendari,4.0
TRX00278,"T. Niyaga Hassanah, S.Kom",Similique Lite,Kesehatan,120000.0,3,Kartu Kredit,2026-07-17,Dumai,
TRX00363,"R.A. Ifa Megantara, M.M.",Aspernatur Lite,Buku,250000.0,1,Kartu Kredit,2026-08-11,Sabang,5.0
TRX00094,"Bagiya Yulianti, S.Gz",Aliquam Pro,Fashion,25000.0,4,E-Wallet,2026-09-15,Banda Aceh,5.0
TRX00447,Rina Nasyiah,Dolores Max,Elektronik,50000.0,1,Kartu Kredit,2026-07-21,Kupang,3.0
TRX00204,"Radit Santoso, S.Ked",Ducimus Max,Olahraga,250000.0,5,COD,2026-07-16,Makassar,3.0
TRX00149,"Prima Yulianti, S.E.I",Possimus Basic,Elektronik,150000.0,3,Transfer Bank,2026-09-16,Pekalongan,4.0
TRX00221,Sutan Utama Tampubolon,Laudantium Basic,Kesehatan,750000.0,1,E-Wallet,2026-08-26,Kendari,3.0
TRX00070,"Ellis Susanti, M.Farm",Incidunt Max,Rumah Tangga,75000.0,4,Transfer Bank,2026-07-28,Langsa,4.0
TRX00254,"T. Dasa Sihombing, S.IP",Architecto Basic,Elektronik,15000.0,2,Kartu Kredit,2026-07-13,Batam,
TRX00399,Puti Puspita,Quam Pro,Buku,25000.0,4,Transfer Bank,2026-07-28,Bekasi,2.0
TRX00168,dr. Uchita Mustofa,Consectetur Pro,Buku,750000.0,2,Transfer Bank,2026-09-11,Tidore Kepulauan,4.0
TRX00276,Karta Utama,Nam,Olahraga,750000.0,4,Kartu Kredit,2026-07-20,Kota Administrasi Jakarta Barat,5.0
TRX00321,Kemal Wastuti,Quisquam,Buku,5000000.0,2,Kartu Kredit,2026-07-26,Malang,
TRX00330,"drg. Winda Lailasari, S.E.",Illum Lite,Fashion,25000.0,2,Kartu Kredit,2026-09-08,Langsa,5.0
TRX00174,Yuni Uyainah,Minima Max,Kesehatan,150000.0,3,COD,2026-07-01,Parepare,4.0
TRX00273,Samsul Sudiati,Veritatis Basic,Elektronik,1200000.0,5,Kartu Kredit,2026-08-31,Blitar,
TRX00496,"Cut Juli Adriansyah, S.Sos",Inventore Lite,Olahraga,1200000.0,2,COD,2026-07-01,Padangpanjang,2.0
TRX00183,"Dr. Cornelia Wijayanti, S.Kom",Temporibus Lite,Olahraga,120000.0,4,E-Wallet,2026-08-18,Banjarbaru,
TRX00269,Janet Jailani,Beatae Lite,Rumah Tangga,250000.0,2,COD,2026-07-21,Lhokseumawe,5.0
TRX00353,"Dt. Emin Hariyah, M.Pd",Nisi Pro,Buku,15000.0,1,Kartu Kredit,2026-08-08,Kota Administrasi Jakarta Barat,4.0
TRX00118,Belinda Permata,Suscipit,Rumah Tangga,50000.0,4,Kartu Kredit,2026-08-22,Bukittinggi,
TRX00394,"Empluk Hartati, M.Kom.",Eum,Fashion,15000.0,1,COD,2026-07-24,Palangkaraya,5.0
TRX00333,Tina Nashiruddin,Accusantium Max,Kesehatan,50000.0,1,E-Wallet,2026-08-27,Salatiga,
TRX00456,Pia Permata,Delectus,Kesehatan,12000000.0,2,E-Wallet,2026-08-11,Makassar,
TRX00445,Rosman Rahmawati,Voluptas Max,Olahraga,25000.0,3,Kartu Kredit,2026-07-23,Cimahi,2.0
TRX00357,"Aurora Wacana, M.M.",Eveniet Basic,Fashion,150000.0,1,E-Wallet,2026-08-09,Bogor,
TRX00087,H. Oman Palastri,Sed Max,Elektronik,25000.0,2,COD,2026-09-10,Jayapura,2.0
TRX00439,"Dr. Nurul Marbun, S.Pt",Recusandae Pro,Olahraga,250000.0,5,Transfer Bank,2026-06-24,Kupang,3.0
TRX00076,"Kiandra Lailasari, S.Sos",Exercitationem,Olahraga,120000.0,1,E-Wallet,2026-07-05,Tomohon,
TRX00452,Mahesa Iswahyudi,Necessitatibus,Fashion,250000.0,3,Transfer Bank,2026-08-07,Tanjungbalai,
TRX00016,Cahyo Melani,Possimus,Elektronik,250000.0,4,COD,2026-06-30,Binjai,3.0
TRX00211,"Mustika Rahayu, M.Kom.",Qui Max,Kesehatan,25000.0,5,COD,2026-08-21,Jayapura,3.0
TRX00181,"Kartika Pratama, M.M.",Numquam Pro,Olahraga,500000.0,5,COD,2026-09-15,Bengkulu,1.0
TRX00398,Vanya Saputra,Corporis Pro,Rumah Tangga,120000.0,5,Transfer Bank,2026-07-03,Palangkaraya,1.0
TRX00020,Maya Manullang,Odit Pro,Olahraga,75000.0,5,Transfer Bank,2026-06-22,Pekalongan,1.0
TRX00341,Jaeman Sudiati,Minima Basic,Kesehatan,500000.0,1,E-Wallet,2026-07-29,Tomohon,3.0
TRX00057,Mahmud Prayoga,Vel Lite,Elektronik,5000000.0,4,Kartu Kredit,2026-07-01,Solok,4.0
TRX00279,Cahya Hidayanto,Odio Basic,Kesehatan,25000.0,3,Transfer Bank,2026-07-07,Bekasi,1.0
TRX00468,"Ilyas Pratama, S.Pt",Consequuntur Lite,Fashion,500000.0,5,E-Wallet,2026-07-04,Semarang,2.0
TRX00155,"Niyaga Januar, M.M.",Doloremque Lite,Olahraga,25000.0,3,COD,2026-08-23,Banjar,
TRX00026,Drs. Indra Prabowo,Quis Basic,Elektronik,50000.0,4,COD,2026-08-28,Tasikmalaya,3.0
TRX00266,Humaira Maheswara,Maxime Lite,Rumah Tangga,1200000.0,4,Transfer Bank,2026-07-31,Tidore Kepulauan,
TRX00043,Wardaya Purnawati,Expedita Max,Kesehatan,5000000.0,5,Transfer Bank,2026-08-13,Solok,5.0
TRX00313,Ella Novitasari,Suscipit,Kesehatan,500000.0,4,E-Wallet,2026-08-25,Bontang,5.0
TRX00413,Dina Usada,Incidunt Basic,Kesehatan,750000.0,3,E-Wallet,2026-07-13,Tasikmalaya,
TRX00457,"Prabowo Hardiansyah, S.Gz",Consequuntur Max,Fashion,1200000.0,5,COD,2026-08-17,Banda Aceh,
TRX00285,Ihsan Hastuti,Vero Basic,Olahraga,50000.0,3,E-Wallet,2026-08-07,Purwokerto,1.0
TRX00127,Asmuni Marbun,Inventore Basic,Elektronik,25000.0,3,E-Wallet,2026-08-14,Palembang,5.0
TRX00335,Tgk. Bakianto Wacana,Velit Pro,Olahraga,120000.0,1,E-Wallet,2026-06-30,Pariaman,2.0
TRX00032,"drg. Respati Wasita, S.Kom",Consequatur Pro,Rumah Tangga,25000.0,1,COD,2026-06-30,Manado,1.0
TRX00114,Ghaliyati Tarihoran,Dolorum Basic,Olahraga,250000.0,1,COD,2026-07-19,Kota Administrasi Jakarta Utara,
TRX00256,Erik Aryani,A Max,Olahraga,150000.0,2,E-Wallet,2026-08-16,Samarinda,
TRX00219,drg. Paramita Hutapea,Nam Basic,Buku,120000.0,2,COD,2026-09-08,Jayapura,
TRX00417,Maryadi Widiastuti,Libero,Olahraga,1200000.0,3,Transfer Bank,2026-07-06,Salatiga,3.0
TRX00058,"Eva Prakasa, S.E.",Dolorum Basic,Olahraga,15000.0,5,Transfer Bank,2026-09-09,Cirebon,4.0
TRX00397,Jamalia Tarihoran,Corrupti Basic,Elektronik,75000.0,2,Transfer Bank,2026-06-30,Palembang,3.0
TRX00025,"Dr. Pranata Mahendra, S.E.I",Unde Basic,Olahraga,25000.0,1,E-Wallet,2026-08-03,Kota Administrasi Jakarta Selatan,2.0
TRX00018,Rina Hastuti,Quia Lite,Fashion,1200000.0,5,Kartu Kredit,2026-07-14,Tangerang Selatan,
TRX00193,Atmaja Mahendra,Harum Max,Rumah Tangga,750000.0,4,Transfer Bank,2026-08-17,Metro,4.0
TRX00067,Betania Widiastuti,Iure Max,Olahraga,500000.0,3,COD,2026-08-17,Tebingtinggi,4.0
TRX00287,R.M. Gadang Marbun,Dolorem,Buku,50000.0,5,COD,2026-07-21,Malang,4.0
TRX00423,Cinta Farida,Voluptatem Max,Olahraga,500000.0,4,Kartu Kredit,2026-08-01,Langsa,4.0
TRX00095,R. Halima Mahendra,Pariatur Max,Rumah Tangga,1200000.0,4,E-Wallet,2026-08-21,Pangkalpinang,5.0
TRX00312,Hani Yolanda,Repellendus Pro,Elektronik,250000.0,1,Transfer Bank,2026-08-12,Sawahlunto,4.0
TRX00369,Vicky Suryono,Modi Pro,Olahraga,250000.0,3,COD,2026-08-02,Lhokseumawe,5.0
TRX00024,Dimas Purnawati,Beatae Lite,Olahraga,1200000.0,2,COD,2026-06-29,Batam,1.0
TRX00272,"Dt. Bahuraksa Winarsih, S.Sos",Maiores Basic,Buku,12000000.0,2,COD,2026-08-07,Bandar Lampung,
TRX00300,Najwa Damanik,Consectetur Basic,Kesehatan,2500000.0,3,E-Wallet,2026-09-15,Kendari,3.0
TRX00374,Ir. Warsa Sirait,Facere Max,Elektronik,500000.0,1,Kartu Kredit,2026-08-29,Tebingtinggi,5.0
TRX00006,Harjasa Kuswoyo,Magnam Max,Olahraga,75000.0,1,E-Wallet,2026-09-06,Banjar,
TRX00117,Aslijan Ramadan,Perferendis Pro,Kesehatan,1200000.0,1,E-Wallet,2026-07-02,Padang,
TRX00046,"Eja Haryanti, S.Psi",Aut Lite,Kesehatan,5000000.0,1,COD,2026-06-22,Batu,3.0
TRX00186,"R. Diah Namaga, S.T.",Doloribus,Kesehatan,1200000.0,5,Transfer Bank,2026-07-01,Blitar,
TRX00017,Lutfan Manullang,Vero Lite,Elektronik,75000.0,5,Kartu Kredit,2026-07-29,Meulaboh,5.0
TRX00478,"Kawaca Nasyiah, M.Ak",Dolor Basic,Buku,50000.0,1,E-Wallet,2026-07-16,Bau-Bau,
TRX00368,"drg. Vinsen Prasasta, M.Ak",Voluptatibus Pro,Buku,500000.0,1,E-Wallet,2026-07-10,Purwokerto,1.0
TRX00004,Rini Setiawan,Ab Lite,Kesehatan,25000.0,1,COD,2026-08-29,Tanjungpinang,
TRX00235,Hj. Dinda Tampubolon,Ipsa Lite,Olahraga,75000.0,1,COD,2026-09-17,Blitar,5.0
TRX00385,"Raden Hutapea, S.Gz",Consectetur Basic,Rumah Tangga,15000.0,5,E-Wallet,2026-07-28,Purwokerto,4.0
TRX00061,Yuni Pradana,Et Pro,Elektronik,500000.0,2,Transfer Bank,2026-06-24,Padang,4.0
TRX00111,"Mutia Saputra, S.Pd",Explicabo Lite,Buku,250000.0,1,Transfer Bank,2026-07-12,Lubuklinggau,1.0
TRX00410,Indah Wijaya,Maiores,Elektronik,50000.0,4,Kartu Kredit,2026-07-02,Semarang,
TRX00421,Jayadi Jailani,Impedit,Olahraga,50000.0,4,Transfer Bank,2026-07-29,Binjai,5.0
TRX00030,Satya Sitompul,Aut,Fashion,15000.0,5,COD,2026-08-07,Surakarta,
TRX00275,Mustika Hartati,Maxime,Elektronik,500000.0,3,Transfer Bank,2026-07-25,Samarinda,
TRX00303,Teguh Saptono,Maiores Lite,Elektronik,500000.0,3,Transfer Bank,2026-08-29,Banjar,4.0
TRX00027,Lalita Winarsih,Totam Basic,Buku,1200000.0,2,E-Wallet,2026-07-25,Bitung,5.0
TRX00008,dr. Ratih Nababan,Voluptatibus Max,Buku,25000.0,5,E-Wallet,2026-06-28,Yogyakarta,
TRX00182,"Gading Palastri, S.I.Kom",Assumenda Pro,Buku,50000.0,4,Transfer Bank,2026-07-27,Bitung,4.0
TRX00109,Emil Prasetya,Necessitatibus Max,Elektronik,500000.0,3,Transfer Bank,2026-08-23,Surabaya,
TRX00038,Harjasa Adriansyah,Molestias Lite,Olahraga,15000.0,3,E-Wallet,2026-07-15,Kotamobagu,
TRX00158,Bahuwirya Suryatmi,Modi,Buku,15000.0,3,Kartu Kredit,2026-08-16,Payakumbuh,
TRX00482,Nugraha Mandala,Voluptates,Kesehatan,75000.0,1,E-Wallet,2026-06-23,Malang,
TRX00119,"Drs. Warta Sihombing, S.Pt",Expedita Max,Fashion,1200000.0,4,Transfer Bank,2026-07-02,Sibolga,
TRX00115,Asmadi Puspasari,Illum Max,Olahraga,500000.0,3,E-Wallet,2026-08-23,Subulussalam,5.0
TRX00267,Kiandra Sirait,Ea Basic,Olahraga,75000.0,4,COD,2026-08-05,Medan,
TRX00176,Makara Hariyah,Voluptates Basic,Olahraga,500000.0,5,Transfer Bank,2026-07-19,Binjai,3.0
TRX00422,"R. Kamaria Saragih, S.Psi",Odit Basic,Olahraga,50000.0,5,E-Wallet,2026-08-31,Malang,5.0
TRX00350,Edison Wasita,Ducimus Lite,Fashion,15000.0,5,Transfer Bank,2026-08-30,Medan,
TRX00145,Tari Salahudin,Repudiandae Lite,Elektronik,25000.0,5,COD,2026-08-13,Bukittinggi,
TRX00381,H. Endra Nasyiah,Illo Basic,Kesehatan,750000.0,4,Kartu Kredit,2026-06-23,Cirebon,
TRX00392,"H. Cahyono Hutapea, M.TI.",Laborum Max,Fashion,50000.0,5,Transfer Bank,2026-06-26,Kediri,4.0
TRX00212,Rahayu Hakim,Ab Pro,Kesehatan,25000.0,3,COD,2026-07-10,Yogyakarta,
TRX00322,"KH. Cakrabuana Siregar, S.Gz",Illo Pro,Olahraga,250000.0,1,E-Wallet,2026-09-15,Malang,4.0
TRX00495,Wardi Wasita,Alias Basic,Kesehatan,15000.0,1,Transfer Bank,2026-07-12,Subulussalam,3.0
TRX00142,"Humaira Agustina, M.Kom.",Optio Basic,Elektronik,250000.0,5,Kartu Kredit,2026-07-13,Meulaboh,1.0
TRX00377,Salman Hutagalung,Velit,Rumah Tangga,500000.0,4,E-Wallet,2026-06-26,Padang Sidempuan,
TRX00068,Ophelia Saragih,Vel Pro,Rumah Tangga,250000.0,4,E-Wallet,2026-07-28,Tanjungpinang,3.0
TRX00409,Unjani Usada,Porro Lite,Elektronik,500000.0,5,Kartu Kredit,2026-09-17,Madiun,3.0
TRX00169,Ellis Pangestu,Delectus Lite,Buku,250000.0,5,Transfer Bank,2026-08-31,Pontianak,
TRX00434,Hardi Megantara,Quaerat Pro,Kesehatan,1200000.0,2,COD,2026-07-26,Samarinda,
TRX00229,"Drs. Martana Nainggolan, S.Psi",Sed Pro,Olahraga,15000.0,1,COD,2026-08-03,Banjarmasin,
TRX00194,Drs. Ida Hasanah,Quae Basic,Rumah Tangga,75000.0,3,COD,2026-08-15,Tanjungpinang,4.0
TRX00082,Nasab Suwarno,Ex Pro,Fashion,75000.0,3,E-Wallet,2026-07-16,Probolinggo,1.0
TRX00110,dr. Nabila Puspasari,Quia Max,Fashion,250000.0,2,COD,2026-07-22,Manado,
TRX00429,"Yessi Haryanto, M.Farm",Corporis Max,Fashion,15000.0,3,E-Wallet,2026-09-01,Mataram,2.0
TRX00146,Paulin Laksmiwati,Laborum Lite,Fashion,250000.0,2,E-Wallet,2026-07-21,Palu,
TRX00093,"Puti Nadine Budiyanto, M.Pd",Asperiores Basic,Elektronik,15000.0,5,E-Wallet,2026-09-19,Jayapura,4.0
TRX00153,"Nasim Laksita, M.Pd",Amet Pro,Buku,2500000.0,1,Kartu Kredit,2026-08-16,Sorong,
TRX00480,"Maya Permadi, S.Gz",Exercitationem,Rumah Tangga,250000.0,1,COD,2026-06-29,Binjai,4.0
TRX00249,Aisyah Agustina,Asperiores Pro,Elektronik,500000.0,2,E-Wallet,2026-07-27,Kendari,3.0
TRX00084,Atma Agustina,Nemo Pro,Buku,75000.0,3,Transfer Bank,2026-07-21,Padangpanjang,3.0
TRX00104,"R.A. Yance Irawan, S.T.",Odio Pro,Kesehatan,150000.0,3,Kartu Kredit,2026-07-13,Salatiga,5.0
TRX00166,Lukman Ramadan,Veritatis Pro,Elektronik,15000.0,3,Kartu Kredit,2026-08-29,Sorong,3.0
TRX00164,"Hj. Lala Saefullah, S.Ked",Recusandae Pro,Rumah Tangga,250000.0,2,COD,2026-09-07,Sibolga,1.0
TRX00200,Hendra Thamrin,Vel Pro,Rumah Tangga,15000.0,5,COD,2026-09-14,Tebingtinggi,
TRX00246,Maras Laksmiwati,Minima Pro,Kesehatan,500000.0,3,COD,2026-08-10,Tasikmalaya,2.0
TRX00075,Rahmi Hidayanto,Odit Lite,Kesehatan,25000.0,5,E-Wallet,2026-07-29,Tasikmalaya,5.0
TRX00317,Salimah Kuswandari,Qui Max,Fashion,2500000.0,2,Transfer Bank,2026-07-25,Palu,
TRX00230,Ciaobella Siregar,Blanditiis Basic,Kesehatan,500000.0,4,Transfer Bank,2026-08-06,Banjar,5.0
TRX00485,Eluh Permata,Sunt Basic,Olahraga,15000.0,3,Transfer Bank,2026-06-28,Pekanbaru,3.0
TRX00120,Ir. Genta Nurdiyanti,Modi Max,Elektronik,500000.0,3,Kartu Kredit,2026-08-01,Langsa,
TRX00387,"drg. Septi Sitompul, M.Farm",Consequatur,Fashion,250000.0,1,E-Wallet,2026-09-10,Kediri,
TRX00443,Irwan Jailani,Ullam Max,Rumah Tangga,500000.0,4,COD,2026-08-28,Bandung,5.0
TRX00262,Tami Kuswandari,Suscipit Basic,Kesehatan,250000.0,1,COD,2026-07-08,Batam,1.0
TRX00365,"dr. Cornelia Nasyiah, S.Kom",Asperiores Pro,Olahraga,50000.0,1,E-Wallet,2026-07-16,Batu,2.0
TRX00412,Ismail Siregar,Voluptate Basic,Fashion,15000.0,1,Kartu Kredit,2026-06-28,Tangerang,1.0
TRX00336,Hilda Ardianto,Facilis Pro,Kesehatan,25000.0,1,E-Wallet,2026-07-26,Tomohon,
TRX00263,"Vicky Haryanti, S.Gz",Impedit Lite,Elektronik,50000.0,4,Kartu Kredit,2026-07-10,Banjar,5.0
TRX00481,Rahmi Sudiati,Aspernatur Basic,Olahraga,120000.0,5,Kartu Kredit,2026-07-19,Bitung,
